Feature,Normalized.Dispersion
ENSMUSG00000032883,0.3674045926987027
ENSMUSG00000079470,1.7975484857968889
ENSMUSG00000047330,6.3495562639233185
ENSMUSG00000050711,18.25243152157282
ENSMUSG00000054702,-1.0402138516790855
ENSMUSG00000073643,-0.18811393961540684
ENSMUSG00000026248,-1.5816800174700663
ENSMUSG00000026249,3.7162738901482295
ENSMUSG00000043230,nan
ENSMUSG00000004364,-0.47688976213256545
ENSMUSG00000101722,nan
ENSMUSG00000038608,13.583728435740085
ENSMUSG00000054976,0.25504986633725235
ENSMUSG00000055980,-0.10297026219134459
ENSMUSG00000022591,-1.4117612276575717
ENSMUSG00000026142,9.126732476844413
ENSMUSG00000067158,-0.34631353635689177
ENSMUSG00000079465,0.0
ENSMUSG00000026150,-0.8497319969881312
ENSMUSG00000026159,1.4129423309955669
ENSMUSG00000113880,0.02062944249602263
ENSMUSG00000038496,0.3201290476372388
ENSMUSG00000113267,nan
ENSMUSG00000101315,nan
ENSMUSG00000026166,nan
ENSMUSG00000053161,3.8867780499824995
ENSMUSG00000026163,5.146928332693617
ENSMUSG00000045658,-0.16045283674540445
ENSMUSG00000036766,2.7080680896684344
